#TYPE PersonName
"firstName","lastName","dateOfBirth","address","socialSecurityNumber"
"YESSENIA","Rodriguez","4/5/2004 6:10:57 PM","3077 View Rd.","803-18-8280"
"GEORGEANN","Thompson","6/24/1992 2:27:23 PM","440 Pine St.","065-31-1785"
"SHARMAINE","Brown","2/23/1972 8:20:16 PM","4790 Park St.","315-55-7240"
"BILLIE","Allen","6/2/1974 11:33:01 PM","4485 Oak St.","676-00-2443"
"BABARA","Hernandez","4/3/2000 10:12:53 AM","1462 Lake Rd.","472-85-1653"
"JIN","Taylor","4/23/2014 5:09:12 PM","1564 West Sixth Rd.","135-44-4210"
"KAREN","Johnson","12/22/1993 11:02:04 PM","3167 Elm St.","566-68-0371"
"HERMILA","Allen","3/12/1982 7:18:31 PM","5031 Fifth St.","208-18-2077"
"MARIELA","Martin","4/1/1996 2:14:50 AM","9485 Ninth Dr.","755-40-4411"
"HILDE","Hall","1/29/1950 9:27:50 PM","8343 Lake St.","622-36-1104"
"ANNAMAE","Smith","2/19/1964 4:24:09 AM","4893 Elm Dr.","568-02-1267"
"LESSIE","Walker","12/20/1989 3:04:01 PM","1541 Fifth Rd.","140-77-4840"
"TISH","White","1/9/2004 10:00:19 PM","6495 Oak Rd.","885-23-4223"
"WYNONA","Harris","11/8/1957 5:13:20 PM","74 North Park Dr.","660-71-2284"
"WINNIE","Brown","11/29/1971 12:09:38 AM","7423 First Dr.","020-21-1263"
"CIERA","Moore","12/18/1985 7:05:57 AM","811 Main Dr.","775-53-3528"
"TERRI","Harris","10/19/2011 5:45:49 PM","9827 Elm Dr.","406-30-7585"
"MITSUKO","Anderson","11/6/1953 9:15:16 AM","7630 Hill St.","805-81-4341"
"OSCAR","Moore","9/7/1979 7:55:08 PM","5411 Cedar Rd.","463-62-1857"
"ALYSON","King","9/27/1993 2:51:27 AM","7571 Hill St.","842-64-0186"
"DANNETTE","Brown","7/27/1947 10:04:27 PM","6833 North Maple St.","510-73-2072"
"THERSA","Taylor","8/16/1961 5:00:46 AM","200 East Washington Rd.","432-37-4615"
"DAISEY","Lewis","9/5/1975 11:57:05 AM","7922 Fifth Rd.","051-22-0646"
"AGUEDA","Martin","7/6/2001 10:36:56 PM","2118 West Oak Rd.","738-55-6860"
"KANDICE","Anderson","7/27/2015 5:33:15 AM","5121 Lake St.","824-47-6422"
"SHARDA","Smith","5/26/1969 12:46:16 AM","6409 Maple Dr.","770-55-0165"
"RONNIE","Brown","6/15/1983 7:42:34 AM","1357 Second Dr.","232-73-7810"
"FREDDA","Brown","4/15/2009 6:22:26 PM","9725 Maple St.","407-46-0106"
"NORAH","Walker","5/4/1951 9:51:53 AM","8514 Lake Rd.","604-24-3580"
"KARLYN","Wilson","7/24/2011 9:35:12 PM","7613 Fifth Rd.","617-68-1846"
"GEORGIANNA","Wilson","3/25/1991 3:28:04 AM","7385 Fourth St.","401-73-5526"
"ELIZABETH","Garcia","6/12/1979 11:44:31 PM","2253 Fourth Rd.","853-80-8571"
"GLADIS","Miller","2/11/1959 5:37:23 AM","3581 Third Rd.","327-14-8742"
"MADELYN","Hall","5/21/1961 8:50:08 AM","4658 First Dr.","680-84-1230"
"MAVIS","Jackson","3/22/1987 7:30:00 PM","3650 Fourth Dr.","270-85-0484"
"LISE","Robinson","4/11/2001 2:26:19 AM","2012 First Dr.","000-33-2470"
"GERI","Lee","2/8/1955 9:39:19 PM","1640 Cedar St.","663-37-6112"
"LATASHA","Thompson","2/28/1969 4:35:38 AM","8225 Hill Dr.","028-12-7342"
"CARLY","Clark","12/30/1994 3:15:30 PM","9339 Oak St.","021-21-0638"
"VERLIE","Thompson","1/18/2009 10:11:49 PM","320 Oak St.","456-67-4450"
"ALETHIA","King","11/18/1962 5:24:49 PM","9428 Elm Dr.","238-74-7231"
"MATTIE","Anderson","12/8/1976 12:21:08 AM","298 Eighth Dr.","015-77-3222"
"KARLY","Harris","12/28/1990 7:17:27 AM","1143 Cedar St.","168-86-7366"
"PAULITA","Davis","10/28/2016 5:57:19 PM","8137 First Rd.","646-81-1436"
"ELISHA","Jackson","11/16/1958 9:26:46 AM","1908 Lake St.","680-41-4360"
"PATRIA","King","9/16/1984 8:06:38 PM","2632 Second Dr.","601-36-7115"
"SHARAN","Walker","10/7/1998 3:02:56 AM","3031 Main Dr.","622-11-3345"
"SHERIDAN","Jackson","8/5/1952 10:15:57 PM","7758 Pine Rd.","762-45-7501"
"TERESA","Brown","8/26/1966 5:12:15 AM","340 Cedar St.","706-34-5514"
"GITA","Hernandez","11/14/1954 1:28:42 AM","3732 Ninth St.","461-22-7673"
"TERINA","King","7/16/2006 10:48:26 PM","7486 Maple St.","313-47-8307"
"LADONNA","White","10/4/1994 7:04:53 PM","3249 Sixth St.","141-13-8043"
"MARITA","King","6/5/1974 12:57:45 AM","6637 Seventh St.","658-65-4047"
"CODI","Thomas","6/24/1988 7:54:04 AM","4599 First Rd.","323-78-1380"
"BELVA","Thomas","9/12/1976 4:10:30 AM","9777 Fourth St.","683-77-0831"
"ELBA","Rodriguez","5/13/1956 10:03:23 AM","7699 East Elm Rd.","601-87-0606"
"MOLLY","Moore","8/2/2016 9:46:41 PM","249 Cedar Dr.","625-47-0214"
"RENE","Davis","4/3/1996 3:39:34 AM","7316 Second Rd.","846-31-2808"
"MERYL","Clark","4/23/2010 10:35:52 AM","2866 View Dr.","450-30-3081"
"CATHERYN","Hall","5/11/1952 2:05:19 AM","1695 Maple Dr.","503-56-2132"
"SHARRI","Thompson","3/12/1978 12:45:11 PM","2969 Lake St.","660-48-2275"
"ARDELLA","Clark","3/31/1992 7:41:30 PM","5487 Fifth Dr.","155-31-5341"
"ARIANNE","Allen","1/29/1946 2:54:30 PM","7717 South Fourth Dr.","226-03-1230"
"DIAMOND","Williams","2/18/1960 9:50:49 PM","1605 Fifth Dr.","837-43-5315"
"GENNIE","Lewis","3/10/1974 4:47:08 AM","9987 Eighth Rd.","271-61-5172"
"KYLEE","Taylor","1/9/2000 3:27:00 PM","9271 Park St.","310-11-5056"
"JALISA","Martinez","1/28/2014 10:23:19 PM","2627 Park Dr.","132-37-8687"
"TAMMI","Smith","11/28/1967 5:36:19 PM","262 Lake Dr.","555-45-4447"
"CARIN","Harris","12/18/1981 12:32:37 AM","4844 Sixth Rd.","801-18-7304"
"ANNETT","Wilson","3/7/1970 8:49:04 PM","4694 East View Dr.","431-73-1320"
"EMELY","Johnson","11/6/1949 2:41:56 AM","3758 Oak St.","328-16-1710"
"JONNA","Johnson","1/26/2010 2:25:15 PM","2687 Eighth Rd.","145-70-8084"
"CAROYLN","Davis","9/26/1989 8:18:07 PM","4467 Third Dr.","800-00-3460"
"RIA","Thomas","12/15/1977 4:34:34 PM","3707 Park Dr.","161-86-0262"
"NELLIE","Miller","1/4/1992 11:30:53 PM","592 Sixth Dr.","125-41-8820"
"YUONNE","Rodriguez","11/3/1945 6:43:52 PM","8222 South Ninth St.","301-16-4782"
"MERCEDEZ","Clark","11/24/1959 1:40:11 AM","7410 Main St.","023-58-0355"
"BEVERLEE","Taylor","7/26/2011 10:59:56 PM","4983 Main St.","188-24-7108"
"GABRIEL","Hall","10/14/1999 7:16:22 PM","830 West Cedar Dr.","014-05-2081"
"ANA","Lee","11/3/2013 2:12:41 AM","4409 East Lake Rd.","546-57-3325"
"SHAINA","Hall","9/2/1967 9:25:41 PM","7370 Seventh St.","747-86-2683"
"YAEKO","Allen","9/22/1981 4:22:00 AM","8894 North Park Dr.","250-35-1520"
"OSCAR","Taylor","7/24/2007 3:01:52 PM","2493 South Hill Dr.","862-16-2410"
"LOREN","Walker","8/11/1949 6:31:18 AM","5447 South Third St.","042-03-0750"
"ELODIA","Smith","7/2/1989 12:07:30 AM","8429 North Oak Dr.","131-11-5423"
"HELENE","Martin","5/3/2015 10:47:22 AM","3042 East View Dr.","150-02-6687"
"DEE","King","5/21/1957 2:16:48 AM","5513 Seventh Dr.","074-37-2524"
"LYNELL","Garcia","3/22/1983 12:56:41 PM","938 Sixth St.","146-82-1065"
"LI","Taylor","4/10/1997 7:53:00 PM","8643 Fourth St.","362-44-4415"
"TOI","Hall","6/29/1985 4:09:26 PM","6383 North Hill Dr.","020-33-3676"
"HIEN","Allen","2/27/1965 10:02:18 PM","6560 Sixth Rd.","044-48-6035"
"MARYANNE","Moore","5/18/1953 6:18:45 PM","7329 Washington St.","413-36-5834"
"DELL","Clark","1/18/2005 3:38:30 PM","3966 Ninth St.","218-66-5586"
"MIRANDA","Walker","4/8/1993 11:54:56 AM","8702 Fifth Rd.","002-58-5082"
"CHUN","Robinson","4/28/2007 6:51:15 PM","222 Eighth Dr.","680-33-4863"
"MAE","Walker","2/25/1961 2:04:14 PM","9 Fourth Rd.","573-48-5156"
"CARYLON","Garcia","3/17/1975 9:00:33 PM","7554 Third Rd.","072-64-4048"
"CAMMY","Clark","1/16/2001 7:40:26 AM","7268 Elm Rd.","514-17-7220"
"JODEE","Davis","2/5/2015 2:36:45 PM","3805 Cedar St.","432-61-2612"
"ONEIDA","Jones","12/5/1968 9:49:44 AM","4240 Maple St.","455-80-7134"
"THRESA","Hernandez","12/25/1982 4:46:03 PM","3130 Elm Rd.","688-00-7731"
"NITA","Davis","1/13/1997 11:42:22 PM","7449 Ninth Dr.","550-04-5777"
"ARACELI","Jones","11/13/1950 6:55:22 PM","3889 Elm St.","340-37-1002"
"CLEMENTINE","Johnson","12/3/1964 1:51:41 AM","6113 Eighth Rd.","306-68-3748"
"TIFFANY","Thompson","10/4/1990 12:31:33 PM","6709 Cedar Rd.","537-45-3068"
"LAUREL","Anderson","10/23/2004 7:27:52 PM","2916 First Dr.","304-77-2786"
"CEOLA","Hall","8/23/1958 2:40:51 PM","717 Maple St.","881-61-7238"
"CRUZ","Martin","9/11/1972 9:37:10 PM","2654 Seventh St.","603-21-2247"
"KELSEY","Lee","7/14/1998 8:17:03 AM","4239 Sixth St.","585-03-3467"
"DEE","Moore","8/2/2012 3:13:22 PM","8466 First St.","678-18-7363"
"SHAYNA","Moore","8/21/1954 6:42:48 AM","5357 Washington St.","542-82-3851"
"DOMENICA","Young","6/21/1980 5:22:40 PM","8590 Sixth St.","348-07-6710"
"SYLVIE","Moore","7/12/1994 12:18:59 AM","8406 Oak St.","864-71-3352"
"JORDAN","Taylor","7/31/2008 7:15:19 AM","2977 View St.","583-00-3478"
"BETTINA","Lewis","8/18/1950 10:44:44 PM","9574 Third Dr.","617-26-5528"
"MILDRED","King","4/20/2002 8:04:29 PM","8651 Cedar Dr.","822-56-0112"
"SYREETA","Moore","7/9/1990 4:20:56 PM","6810 Eighth Dr.","033-24-3786"
"FRANCES","Martinez","3/9/1970 10:13:48 PM","6857 Sixth Dr.","503-85-7813"
"RAMONA","Lee","5/28/1958 6:30:14 PM","1969 Fourth St.","466-48-0433"
"MYRTICE","Hernandez","6/17/1972 1:26:33 AM","3100 Ninth St.","644-74-8533"
"TANEKA","Clark","4/18/1998 12:06:26 PM","7050 West Park Dr.","557-67-1625"
"DONITA","Jackson","5/7/2012 7:02:45 PM","2960 Fifth Rd.","656-76-4305"
"EMELINA","Young","3/7/1966 2:15:44 PM","843 Sixth Dr.","343-85-3025"
"TANDRA","Miller","3/26/1980 9:12:03 PM","7433 Park Rd.","544-78-1421"
"ANETTE","Wilson","1/26/2006 7:51:56 AM","702 Fifth St.","737-12-2045"
"PURA","Smith","2/13/1948 11:21:21 PM","6565 Third St.","758-18-4036"
"GIOVANNA","Garcia","12/15/1973 10:01:14 AM","9037 Ninth Rd.","043-13-1647"
"CARI","Lee","1/4/1988 4:57:33 PM","8969 Elm Rd.","077-68-4562"
"CAROLYN","Lewis","1/23/2002 11:53:52 PM","7344 Eighth Rd.","653-34-4786"
"AUBREY","Garcia","11/23/1955 7:06:51 PM","3397 Fourth St.","273-82-5878"
"LAKISHA","Jackson","12/13/1969 2:03:10 AM","650 South View St.","214-26-0640"
"BOBBY","Davis","10/14/1995 12:43:03 PM","9998 Hill Rd.","226-15-0001"
"PAGE","Brown","11/2/2009 7:39:22 PM","2169 Sixth Rd.","623-10-2105"
"NADENE","King","9/2/1963 2:52:21 PM","9853 Lake St.","317-73-3287"
"SUZY","Wilson","9/21/1977 9:48:40 PM","1349 Pine St.","185-27-5573"
"DOREATHA","Martinez","10/12/1991 4:44:59 AM","2331 North Second Rd.","806-48-4320"
"TREASA","Hernandez","8/10/1945 11:57:58 PM","1113 Oak Dr.","416-08-5346"
"TAWANNA","Smith","8/31/1959 6:54:17 AM","6575 Fifth St.","423-62-7288"
"SALOME","Taylor","7/1/1985 5:34:10 PM","1979 Ninth Rd.","627-72-5767"
"ERICKA","King","7/22/1999 12:30:29 AM","8709 First Dr.","001-02-4641"
"CHANTAY","Anderson","10/9/1987 8:46:56 PM","6400 First Dr.","065-67-5175"
"ONEIDA","Taylor","6/10/1967 2:39:47 AM","3438 Cedar Rd.","261-20-0201"
"JAUNITA","Brown","8/28/1955 10:56:13 PM","9150 Fourth Rd.","747-16-6352"
"EMELINA","Walker","4/30/2007 8:15:59 PM","3686 Cedar Dr.","123-57-1731"
"ASUNCION","Taylor","8/7/2009 11:28:45 PM","4081 Third Dr.","342-26-2222"
"DANIELLA","Johnson","6/7/1963 6:41:43 PM","9622 Park Rd.","024-22-3268"
"TERESSA","Jackson","6/27/1977 1:38:03 AM","3465 First St.","220-38-3574"
"INDIRA","Miller","4/28/2003 12:17:56 PM","7981 North Fourth Rd.","452-23-2766"
"KARRI","Allen","5/16/1945 3:47:20 AM","4608 Maple Rd.","031-40-5302"
"VELVET","Garcia","3/17/1971 2:27:13 PM","1779 South Eighth St.","315-47-5008"
"FELICITAS","Allen","4/5/1985 9:23:33 PM","9123 Third Dr.","378-62-0720"
"MOLLY","Lee","4/26/1999 4:19:52 AM","3051 Second Rd.","284-03-8284"
"LISA","Jackson","2/22/1953 11:32:50 PM","3458 Eighth St.","287-01-4504"
"ANNITA","Rodriguez","3/15/1967 6:29:10 AM","1552 Seventh Rd.","014-06-5247"
"JENISE","Moore","1/13/1993 5:09:03 PM","3256 Main Rd.","304-68-2782"
"HILMA","Brown","2/3/2007 12:05:22 AM","7428 Fifth Dr.","524-42-7215"
"LATRICE","Harris","12/2/1960 7:18:20 PM","8444 View Rd.","737-53-0086"
"MAZIE","Hernandez","12/23/1974 2:14:40 AM","2931 View St.","500-86-5048"
"CANDIDA","Rodriguez","10/23/2000 12:54:33 PM","5042 Park Dr.","050-06-5207"
"JULIE","Garcia","11/12/2014 7:50:52 PM","5399 Second Rd.","501-88-4258"
"VIVIENNE","Thompson","1/31/2003 4:07:18 PM","1887 Park Rd.","057-83-8147"
"RUDY","Harris","10/1/1982 10:00:10 PM","7955 Hill St.","305-86-7357"
"SOFIA","Lee","12/20/1970 6:16:36 PM","4448 Hill Rd.","634-23-1784"
"JACQUILINE","Harris","8/21/1950 12:09:27 AM","1468 Park Rd.","700-45-0348"
"MINERVA","Thompson","9/9/1964 7:05:47 AM","7563 Main Rd.","145-52-8805"
"SHELBA","Lewis","11/28/1952 3:22:13 AM","7611 Pine St.","765-16-3636"
"BRIGITTE","Johnson","7/31/2004 12:41:59 AM","3579 Maple St.","422-26-2372"
"VELVA","Lee","10/18/1992 8:58:25 PM","6158 Eighth Dr.","215-70-2842"
"ALESSANDRA","Martin","6/19/1972 2:51:17 AM","7529 Fourth St.","514-76-0480"
"MELDA","Garcia","7/9/1986 9:47:36 AM","5426 North Seventh Dr.","756-60-5427"
"CAMELLIA","Garcia","7/28/2000 4:43:55 PM","5313 West First Rd.","576-74-3747"
"TRINH","Anderson","8/17/2014 11:40:15 PM","1206 Fifth Rd.","646-56-6455"
"TAMMIE","Taylor","6/16/1968 6:53:13 PM","9448 Elm Dr.","246-84-7347"
"SHAWANA","King","7/7/1982 1:49:32 AM","9463 Elm Rd.","377-23-4614"
"KIRSTIN","Garcia","5/7/2008 12:29:26 PM","2223 North Cedar Dr.","055-77-0227"
"KARINE","Wilson","5/26/1950 3:58:50 AM","2112 Cedar St.","183-31-8101"
"ALI","Hall","3/26/1976 2:38:43 PM","5113 Washington Rd.","584-45-3568"
"JANELLA","Harris","4/15/1990 9:35:02 PM","5117 Second Rd.","353-24-3254"
"JOVAN","Anderson","2/15/2016 8:14:56 AM","5780 Third Dr.","628-21-6023"
"SHANI","Jackson","3/4/1958 11:44:20 PM","5713 Ninth Dr.","473-35-1715"
"CHERRIE","Robinson","5/23/1946 8:00:46 PM","4929 West Elm Dr.","816-01-8470"
"BABARA","Rodriguez","1/23/1998 5:20:33 PM","3289 Ninth St.","708-71-6720"
"NGOC","Harris","2/13/2012 12:16:52 AM","9084 Washington Rd.","862-10-5741"
"MERYL","Thompson","12/12/1965 7:29:50 PM","5997 Park Dr.","477-51-4611"
"AZUCENA","White","1/2/1980 2:26:09 AM","6025 North Seventh Dr.","780-24-4650"
"GERALDINE","Brown","3/21/1968 10:42:35 PM","3273 Maple St.","774-52-5308"
"KATERINE","Williams","11/21/1947 4:35:27 AM","641 Ninth Dr.","158-51-7043"
"LEOTA","Jackson","2/10/2008 4:18:48 PM","5748 East Third Rd.","723-84-4784"
"GLYNIS","Harris","10/11/1987 10:11:39 PM","2048 Fourth Rd.","765-74-6300"
"YOLANDO","Young","12/30/1975 6:28:06 PM","8614 Hill St.","643-58-7706"
"KATIA","Wilson","1/19/1990 1:24:25 AM","3237 Second Rd.","866-38-0578"
"WILDA","Walker","11/20/2015 12:04:18 PM","3400 North Washington St.","135-48-4386"
"RACHELLE","Smith","12/8/1957 3:33:42 AM","5745 Second Rd.","128-21-0305"
"VIOLA","Miller","8/10/2009 12:53:29 AM","1302 Washington Rd.","107-18-4300"
"WILLODEAN","Hall","8/28/1951 4:22:53 PM","7898 Washington St.","775-83-1457"
"KARI","Williams","9/16/1965 11:19:12 PM","2370 Washington Dr.","852-62-0058"
"MATHILDE","Martin","7/19/1991 9:59:06 AM","1102 Washington St.","336-64-2842"
"NELLA","Allen","8/7/2005 4:55:25 PM","9431 Elm Rd.","500-83-0728"
"JUNE","Martinez","6/7/1959 12:08:23 PM","9127 Washington Dr.","227-07-2740"
"BERRY","Martin","6/26/1973 7:04:43 PM","4856 Ninth St.","658-45-6876"
"CARLOTTA","Johnson","9/14/1961 3:21:09 PM","4011 Washington Rd.","847-75-2424"
"TOMIKA","Harris","5/17/2013 12:40:56 PM","3624 Seventh Dr.","743-32-3156"
"GREGORY","Rodriguez","8/5/2001 8:57:22 AM","1658 East Hill Dr.","818-30-6627"
"MELLISA","Martinez","4/5/1981 2:50:13 PM","6367 First St.","478-44-8085"
"CRISELDA","Miller","6/24/1969 11:06:39 AM","2845 View Dr.","544-47-4227"
"SHOSHANA","Martin","7/14/1983 6:02:58 PM","880 Lake Rd.","168-62-1324"
"TOBY","Clark","5/15/2009 4:42:52 AM","3889 West Seventh Dr.","353-77-3660"
"DEMETRA","Wilson","6/2/1951 8:12:15 PM","980 Lake Rd.","636-43-2041"
"AKILAH","Lee","4/3/1977 6:52:09 AM","4813 Ninth St.","760-67-5323"
"PETRONILA","Moore","4/23/1991 1:48:28 PM","387 Park Rd.","257-44-4352"
"LAVERNE","Thomas","5/12/2005 8:44:48 PM","4761 Maple Rd.","338-37-3231"
"GENIE","Jones","3/12/1959 3:57:46 PM","9528 View St.","204-05-6118"
"CHARLENA","Miller","3/31/1973 10:54:05 PM","8302 View St.","801-27-2044"
"MILA","Garcia","1/31/1999 9:33:59 AM","9050 Fourth St.","440-68-8178"
"ALETHA","Martin","2/19/2013 4:30:18 PM","1164 Ninth St.","045-82-6185"
"CARIE","Walker","12/20/1966 11:43:16 AM","2825 Seventh St.","873-60-1748"
"MILLIE","Smith","1/8/1981 6:39:35 PM","8575 First St.","110-71-3784"
"MARAGARET","Harris","11/10/2006 5:19:29 AM","911 Main Dr.","474-71-0811"
"SHANTI","Wilson","11/27/1948 8:48:52 PM","5620 Hill Rd.","078-87-3614"
"MERRY","Brown","9/29/1974 7:28:46 AM","2179 View St.","117-87-0041"
"FLORIA","Miller","10/18/1988 2:25:05 PM","1258 Elm St.","855-12-7108"
"SAMMIE","Smith","1/6/1977 10:41:31 AM","7797 Sixth Dr.","467-46-6887"
"JERICA","Allen","9/6/1956 4:34:22 PM","7306 Park Dr.","278-75-1222"
"FLORIDA","Allen","11/27/2016 4:17:45 AM","4900 North Fourth Dr.","035-48-0310"
"CAPRICE","Wilson","7/28/1996 10:10:36 AM","9270 Second St.","162-11-1124"
"CASSIDY","Davis","11/5/1998 1:23:21 PM","5296 Fifth Dr.","487-27-7041"
"MADLYN","Harris","9/4/1952 8:36:19 AM","490 Washington Rd.","320-43-0123"
"SHELLIE","Jackson","9/24/1966 3:32:38 PM","7549 Pine Dr.","631-03-2355"
"SHIRLEEN","Miller","7/26/1992 2:12:32 AM","8409 Sixth Rd.","027-80-0522"
"SHALON","Thompson","8/15/2006 9:08:52 AM","5607 Hill St.","002-43-4325"
"IVORY","Allen","9/2/1948 12:38:15 AM","3513 Fourth St.","118-02-5318"
"STARLA","Martin","7/4/1974 11:18:08 AM","9666 Fifth Rd.","314-15-8154"
"ELKE","Thompson","7/23/1988 6:14:28 PM","3875 Third Dr.","878-88-5312"
"SHALONDA","Rodriguez","5/25/2014 4:54:22 AM","4978 Washington Dr.","853-34-7270"
"VELVA","Anderson","6/11/1956 8:23:45 PM","6143 Washington Dr.","880-05-7248"
"JERLENE","Jones","4/13/1982 7:03:39 AM","6595 First Dr.","357-34-7616"
"ABBY","Lee","5/2/1996 1:59:58 PM","3181 Hill Dr.","573-56-0025"
"ROSA","Rodriguez","3/2/1950 9:12:55 AM","1357 Cedar St.","643-13-2368"
"JENNINE","Lee","3/21/1964 4:09:15 PM","191 First Rd.","700-47-3581"
"TOCCARA","Anderson","1/21/1990 2:49:09 AM","9611 Park Rd.","387-22-5563"
"USHA","Walker","2/10/2004 9:45:29 AM","1132 Sixth St.","122-61-1724"
"ANTONIO","Wilson","4/30/1992 6:01:54 AM","8025 Maple Rd.","614-25-0868"
"SHERRIL","Martin","12/30/1971 11:54:45 AM","2582 Third Rd.","544-44-8724"
"CAMI","Harris","3/19/1960 8:11:11 AM","4399 Fifth Rd.","823-02-6708"
"ZOILA","Smith","11/20/2011 5:30:59 AM","9197 North Seventh Dr.","120-75-3021"
"JACQUALINE","Jones","12/7/1953 9:00:22 PM","8546 Oak Dr.","267-17-4234"
"ROXANA","Martinez","2/27/2014 8:43:45 AM","6131 South Second Rd.","236-24-7564"
"GENEVIE","Allen","10/28/1993 2:36:35 PM","3365 Fifth Dr.","346-53-0141"
"KATHARYN","Lewis","1/16/1982 10:53:01 AM","9190 Maple St.","748-46-2713"
"FUMIKO","King","9/16/1961 4:45:52 PM","8119 Sixth Dr.","350-40-1331"
"VINCENZA","Davis","10/6/1975 11:42:12 PM","1914 Maple Dr.","538-05-6253"
"CLARISSA","Rodriguez","10/26/1989 6:38:32 AM","5441 Park Dr.","218-10-7541"
"BIRGIT","Taylor","11/15/2003 1:34:51 PM","8674 Seventh Dr.","473-43-4873"
"VALLIE","Thompson","9/14/1957 8:47:48 AM","3376 Second St.","627-67-2044"
"JACELYN","Martin","10/4/1971 3:44:08 PM","7897 Fifth St.","266-00-4537"
"DORATHY","Jones","8/5/1997 2:24:02 AM","4260 Second Rd.","546-40-5258"
"JUSTINA","Smith","8/25/2011 9:20:22 AM","3303 Ninth Rd.","448-37-8155"
"SHAKIA","Garcia","6/24/1965 4:33:18 AM","270 Ninth Dr.","334-45-1851"
"KATHERIN","Taylor","7/14/1979 11:29:38 AM","8759 View Rd.","027-37-2570"
"TANESHA","Moore","5/14/2005 10:09:32 PM","2326 Fifth St.","610-78-8142"
"DORETTA","Hernandez","6/2/1947 1:38:55 PM","3338 First St.","518-25-5151"
"CHELSEA","White","6/21/1961 8:35:15 PM","2796 Oak Dr.","087-48-4372"
"BERNA","Garcia","4/23/1987 7:15:09 AM","6772 Second St.","157-00-2328"
"MATHILDE","Miller","5/12/2001 2:11:28 PM","2414 Sixth St.","222-07-7027"
"SALINA","Young","3/12/1955 9:24:25 AM","2598 South Eighth Dr.","156-60-5230"
"ARLETHA","Allen","3/31/1969 4:20:45 PM","2081 Third St.","805-14-8783"
"RHODA","Smith","6/19/1957 12:37:11 PM","4730 View Rd.","567-84-7348"
"TESS","Thomas","2/19/2009 9:56:59 AM","7973 Third St.","544-85-8728"
"ANNABELL","Harris","5/10/1997 6:13:24 AM","3362 Sixth Rd.","724-08-1875"
"MERLENE","Taylor","1/8/1977 12:06:15 PM","1628 Hill Rd.","040-28-2318"
"ALAYNA","Robinson","3/29/1965 8:22:41 AM","1345 Eighth Rd.","783-54-6421"
"YVONE","Robinson","4/18/1979 3:19:01 PM","6731 Sixth Rd.","683-36-0824"
"MARITZA","Walker","2/17/2005 1:58:55 AM","4671 Park St.","730-75-3331"
"YOULANDA","Garcia","3/7/1947 5:28:17 PM","3333 East Third Rd.","341-55-4234"
"CARMINA","Martinez","11/7/1998 2:48:05 PM","358 Second St.","383-57-8665"
"ALEXIA","Williams","11/26/2012 9:44:25 PM","1909 Third St.","782-48-7038"
"YING","Wilson","12/15/1954 1:13:47 PM","3980 Sixth St.","208-66-4880"
"SHAUN","Martinez","1/3/1969 8:10:07 PM","8270 East Washington St.","785-62-3467"
"ALETHEA","Williams","11/5/1994 6:50:02 AM","7581 Main Dr.","006-05-7630"
"KATELYNN","Robinson","11/24/2008 1:46:21 PM","9224 Fourth St.","530-20-6017"
"JERICA","Clark","9/24/1962 8:59:18 AM","2187 Fifth Dr.","516-56-1126"
"PENNY","Brown","10/13/1976 3:55:38 PM","1833 Main St.","672-57-8014"
"JAYME","Robinson","8/15/2002 2:35:32 AM","9997 Oak Rd.","021-28-8536"
"MAYBELLE","King","9/3/2016 9:31:52 AM","5880 View St.","522-07-5417"
"DEDE","Williams","7/4/1970 4:44:48 AM","2605 South Park St.","551-80-3734"
"MELISA","Thompson","7/23/1984 11:41:08 AM","4788 Pine Rd.","308-75-5136"
"ENEDINA","Young","10/11/1972 7:57:34 AM","9362 Oak Dr.","528-81-0883"
"CHIA","Martinez","6/11/1952 1:50:24 PM","3163 Cedar Rd.","323-80-5267"
"INDIA","Johnson","9/1/2012 1:33:48 AM","8349 Washington Rd.","313-74-0848"
"MARGENE","Miller","5/2/1992 7:26:39 AM","4428 East View St.","437-63-3724"
"BRANDI","Robinson","5/22/2006 2:22:58 PM","6984 Sixth St.","251-43-3601"
"VONDA","Lewis","8/10/1994 10:39:24 AM","5045 Main St.","302-20-2122"
"VANETTA","Smith","4/10/1974 4:32:15 PM","9238 Fifth Rd.","340-75-3224"
"MIRELLA","Davis","6/29/1962 12:48:40 PM","6266 Elm St.","314-68-1780"
"HORTENCIA","Smith","3/1/2014 10:08:29 AM","3120 Maple Rd.","057-23-5133"
"SCOTT","Hernandez","5/20/2002 6:24:55 AM","1471 West Eighth Rd.","706-73-6683"
"CANDRA","Jackson","6/8/2016 1:21:15 PM","9162 Hill St.","664-38-1526"
"RETA","Anderson","4/27/1984 3:30:31 PM","5360 Ninth Rd.","365-28-7606"
"TARRA","Brown","2/27/2010 2:10:25 AM","422 East Third Rd.","284-03-4655"
"LALA","King","3/16/1952 5:39:47 PM","3761 Pine St.","408-33-5040"
"ZELMA","Anderson","1/16/1978 4:19:41 AM","8290 Elm St.","265-77-3334"
"IOLA","Lee","2/5/1992 11:16:01 AM","7802 Cedar Rd.","136-63-0873"
"CHRISTENE","Hall","12/5/1945 6:28:57 AM","3742 Second Dr.","832-50-7278"
"MARIAM","Williams","12/25/1959 1:25:17 PM","1114 Pine Dr.","501-23-3570"
"KARMEN","Miller","10/26/1985 12:05:12 AM","9067 Park St.","185-11-1430"
